correct('localy') => 'localy' (76); expected 'locally' (711485)
correct('encorage') => 'encorage' (267); expected 'encourage' (2013647)
correct('colate') => 'colate' (232); expected 'collate' (30236)
correct('recieving') => 'recieving' (685); expected 'receiving' (3725978)
correct('reciving') => 'reciving' (176); expected 'receiving' (3725978)
correct('provisoe') => 'provisoe' (257); expected 'proviso' (270933)
correct('umberalla') => 'umberella' (303); expected 'umbrella' (368568)
correct('aproached') => 'aproached' (551); expected 'approached' (2532930)
correct('plesent') => 'plesent' (335); expected 'pleasant' (4060639)
correct('dificulty') => 'dificulty' (911); expected 'difficulty' (8831800)
correct('apointments') => 'apointments' (127); expected 'appointments' (795101)
correct('basse') => 'basse' (15064); expected 'base' (7998785)
correct('earlyest') => 'earlyest' (92); expected 'earliest' (3302737)
correct('begining') => 'begining' (17373); expected 'beginning' (12693270)
correct('universaly') => 'universaly' (308); expected 'universally' (1509440)
correct('lengh') => 'lengh' (672); expected 'length' (15577657)
correct('exponentualy') => 'exponential' (225432); expected 'exponentially' (68168)
correct('utalised') => 'utilised' (187744); expected 'utilized' (996840)
correct('et') => 'et' (21759871); expected 'set' (31073210)
correct('servays') => 'servans' (1149); expected 'surveys' (874510)
correct('sysem') => 'sysem' (753); expected 'system' (34997738)
correct('aproximatly') => 'aproximately' (1008); expected 'approximately' (3379331)
correct('ther') => 'ther' (369847); expected 'their' (282572607)
correct('scheem') => 'scheem' (73); expected 'scheme' (4546056)
correct('speeking') => 'speeking' (176); expected 'speaking' (7149858)
correct('repetative') => 'repetative' (77); expected 'repetitive' (193961)
correct('ineffiect') => 'ineffect' (242); expected 'inefficient' (396781)
correct('imediate') => 'imediate' (1059); expected 'immediate' (6929695)
correct('apreciation') => 'apreciation' (115); expected 'appreciation' (1700627)
correct('luckeley') => 'luckely' (91); expected 'luckily' (146753)
correct('belive') => 'belive' (5091); expected 'believe' (17923539)
correct('apreciated') => 'apreciated' (118); expected 'appreciated' (1216128)
correct('wer') => 'wer' (144893); expected 'were' (297375279)
correct('where') => 'where' (75565162); expected 'were' (297375279)
correct('fealing') => 'fealing' (2506); expected 'feeling' (11710832)
correct('anf') => 'anf' (7332); expected 'and' (2760104499)
correct('faulse') => 'faulse' (384); expected 'false' (5732368)
correct('seeen') => 'seeen' (315); expected 'seen' (30924869)
correct('interogationg') => 'interogation' (238); expected 'interrogating' (29998)
correct('academicly') => 'academic' (1825399); expected 'academically' (54921)
correct('relativly') => 'relativly' (201); expected 'relatively' (5288271)
correct('relitivly') => 'relativly' (201); expected 'relatively' (5288271)
correct('traditionaly') => 'traditionaly' (94); expected 'traditionally' (524297)
correct('studing') => 'studing' (712); expected 'studying' (1809176)
correct('majorty') => 'majorty' (368); expected 'majority' (7828815)
correct('biuld') => 'biuld' (56); expected 'build' (4058723)
correct('agravating') => 'agravating' (74); expected 'aggravating' (99303)
correct('trasactions') => 'trasactions' (56); expected 'transactions' (1607224)
correct('sheertes') => 'sheetes' (1678); expected 'sheets' (1495600)
correct('sucsesive') => 'succesive' (1506); expected 'successive' (2363190)
correct('sucessive') => 'sucessive' (802); expected 'successive' (2363190)
correct('extreemly') => 'extreemly' (1302); expected 'extremely' (5459737)
correct('especaily') => 'especialy' (3691); expected 'especially' (19359936)
correct('latter') => 'latter' (18873228); expected 'later' (24722360)
correct('draged') => 'draged' (259); expected 'dragged' (1107893)
correct('atmospher') => 'atmospher' (382); expected 'atmosphere' (4086990)
correct('particulary') => 'particulary' (8923); expected 'particularly' (12319549)
correct('vistor') => 'vistor' (268); expected 'visitor' (1129601)
correct('sesion') => 'sesion' (917); expected 'session' (3134297)
correct('contually') => 'contmually' (483); expected 'continually' (2691242)
correct('avaiblity') => 'availablity' (686); expected 'availability' (755454)
correct('buisy') => 'buisy' (780); expected 'busy' (2742871)
correct('perametres') => 'parametres' (1799); expected 'parameters' (1288432)
correct('suroundings') => 'suroundings' (241); expected 'surroundings' (1091637)
correct('seroundings') => 'suroundings' (241); expected 'surroundings' (1091637)
correct('emploied') => 'emploied' (1372); expected 'employed' (11206898)
correct('adiquate') => 'adiquate' (57); expected 'adequate' (3907873)
correct('handel') => 'handel' (3567); expected 'handle' (2253117)
correct('meens') => 'meens' (656); expected 'means' (33763146)
correct('familer') => 'familar' (8323); expected 'familiar' (5420860)
correct('beeteen') => 'beteen' (642); expected 'between' (75925484)
correct('overal') => 'overal' (1245); expected 'overall' (1696185)
correct('timeing') => 'timeing' (147); expected 'timing' (536038)
correct('comittees') => 'comittees' (479); expected 'committees' (1457138)
correct('commitees') => 'commitees' (460); expected 'committees' (1457138)
correct('quies') => 'quies' (7178); expected 'queries' (210324)
correct('errounous') => 'erronous' (305); expected 'erroneous' (962707)
correct('refference') => 'refference' (542); expected 'reference' (8736536)
correct('inteligence') => 'inteligence' (935); expected 'intelligence' (4884490)
correct('ediion') => 'ediion' (55); expected 'edition' (4758606)
correct('arte') => 'arte' (99869); expected 'are' (424154991)
correct('thermawere') => 'therewere' (819); expected 'thermawear' (0)
correct('thermawhere') => 'thermawhere' (0); expected 'thermawear' (0)
correct('tecniques') => 'tecniques' (133); expected 'techniques' (2962215)
correct('volantary') => 'volantary' (59); expected 'voluntary' (2190538)
correct('subsequant') => 'subsequant' (60); expected 'subsequent' (4819748)
correct('forcast') => 'forcast' (383); expected 'forecast' (402982)
correct('wepons') => 'wepons' (270); expected 'weapons' (2141799)
correct('rouint') => 'ruint' (767); expected 'routine' (1571731)
correct('niether') => 'niether' (467); expected 'neither' (11716824)
correct('aproach') => 'aproach' (1376); expected 'approach' (8649135)
correct('availble') => 'availble' (396); expected 'available' (9833938)
correct('ablity') => 'ablity' (230); expected 'ability' (6874780)
correct('natior') => 'natior' (540); expected 'nature' (31743331)
correct('componant') => 'componant' (399); expected 'component' (2503098)
correct('agences') => 'agences' (638); expected 'agencies' (2628280)
correct('howeverr') => 'howeverr' (201); expected 'however' (46684001)
correct('sugested') => 'sugested' (552); expected 'suggested' (7184936)
correct('carear') => 'carear' (116); expected 'career' (4447804)
correct('mony') => 'mony' (93464); expected 'many' (80991101)
correct('anual') => 'anual' (5145); expected 'annual' (4908370)
correct('acording') => 'acording' (4851); expected 'according' (18206338)
correct('recives') => 'recives' (72); expected 'receives' (2073096)
correct('recieves') => 'recieves' (477); expected 'receives' (2073096)
correct('expence') => 'expence' (251023); expected 'expense' (4471015)
correct('relavent') => 'relavent' (134); expected 'relevant' (2112798)
correct('throuout') => 'throuout' (130); expected 'throughout' (9649931)
correct('conferance') => 'conferance' (221); expected 'conference' (2860046)
correct('sensable') => 'sensable' (541); expected 'sensible' (2263670)
correct('discribed') => 'discribed' (2145); expected 'described' (14056941)
correct('describd') => 'describd' (205); expected 'described' (14056941)
correct('unioun') => 'unioun' (201); expected 'union' (6630397)
correct('intrest') => 'intrest' (2699); expected 'interest' (24801447)
correct('flexable') => 'flexable' (132); expected 'flexible' (1009386)
correct('reffered') => 'reffered' (473); expected 'refered' (6872)
correct('familys') => 'familys' (2566); expected 'families' (6538265)
correct('suficient') => 'suficient' (696); expected 'sufficient' (11685762)
correct('desention') => 'detention' (410859); expected 'dissension' (214174)
correct('representitive') => 'representitive' (114); expected 'representative' (3925103)
correct('irrelavent') => 'irrelavent' (84); expected 'irrelevant' (619389)
correct('unessasarily') => 'unessasarily' (0); expected 'unnecessarily' (298637)
correct('upplied') => 'upplied' (862); expected 'applied' (10648545)
correct('thees') => 'thees' (5122); expected 'these' (129371776)
correct('thess') => 'thess' (3769); expected 'these' (129371776)
correct('choises') => 'choises' (143); expected 'choices' (817696)
correct('wil') => 'wil' (102391); expected 'will' (182046231)
correct('shortend') => 'shortend' (178); expected 'shortened' (421191)
correct('manualy') => 'manual' (1255399); expected 'manually' (109340)
correct('dissapoiting') => 'dissapointing' (45); expected 'disappointing' (260203)
correct('exessively') => 'exessively' (42); expected 'excessively' (519470)
correct('containg') => 'containg' (1033); expected 'containing' (6801277)
correct('develope') => 'develope' (88858); expected 'develop' (5128457)
correct('creadit') => 'creadit' (147); expected 'credit' (6104220)
correct('goverment') => 'goverment' (13609); expected 'government' (29645785)
correct('aquantences') => 'aquaintances' (427); expected 'acquaintances' (514281)
correct('widly') => 'widly' (305); expected 'widely' (3937870)
correct('advice') => 'advice' (4688623); expected 'advise' (1105938)
correct('dificult') => 'dificult' (1022); expected 'difficult' (13731770)
correct('bonas') => 'bonas' (2945); expected 'bonus' (340855)
correct('concieved') => 'concieved' (736); expected 'conceived' (2807828)
correct('nationaly') => 'national' (13850144); expected 'nationally' (184743)
correct('compased') => 'compased' (162); expected 'compared' (6642081)
correct('moveing') => 'moveing' (1551); expected 'moving' (5476225)
correct('nessesity') => 'nesessity' (153); expected 'necessity' (7369329)
correct('oppertunity') => 'oppertunity' (2190); expected 'opportunity' (8302500)
correct('oppotunity') => 'oppotunity' (222); expected 'opportunity' (8302500)
correct('opperttunity') => 'oppertunity' (2190); expected 'opportunity' (8302500)
correct('thorts') => 'thorts' (128); expected 'thoughts' (6498412)
correct('equaled') => 'equaled' (106289); expected 'equalled' (351510)
correct('scrutiniesed') => 'scrutinised' (27930); expected 'scrutinized' (117060)
correct('analiss') => 'analisis' (2906); expected 'analysis' (9828521)
correct('analsis') => 'analsis' (88); expected 'analysis' (9828521)
